id_servicio,titulo,descripcion,habilidades_requeridas,fecha_publicacion,estado
2224,Programador Python,"Importante empresa solicita apoyo en el área de electricidad, css, marketing digital.","Electricidad, CSS, Marketing digital",2025-02-21,Cerrado
2225,Vendedor telefónico,"Se busca profesional con experiencia en tramitología, atención al cliente, electricidad.","Tramitología, Atención al cliente, Electricidad",2025-03-29,Cerrado
2226,Maestro de matemáticas,"Se requiere conocimiento en atención al cliente, contabilidad, instalaciones eléctricas.","Atención al cliente, Contabilidad, Instalaciones eléctricas",2025-03-27,Cerrado
2227,Instalador eléctrico,"Se requiere conocimiento en administración, ciencia de datos, carpintería.","Administración, Ciencia de datos, Carpintería",2025-01-21,Cerrado
2228,Redactor de contenido,"Trabajo temporal relacionado con soporte técnico, programación en java.","Soporte técnico, Programación en Java",2025-04-15,Cerrado
2229,Electricista,"Se busca profesional con experiencia en electricidad, terapia física.","Electricidad, Terapia Física",2025-03-06,Cerrado
2230,Técnico en soporte,"Trabajo temporal relacionado con diseño gráfico, soporte técnico, administración.","Diseño gráfico, Soporte técnico, Administración",2024-11-20,Cerrado
2231,Community manager,"Colaboración independiente para tareas de contabilidad, terapia física, tramitología.","Contabilidad, Terapia Física, Tramitología",2025-03-14,Abierto
2232,Desarrollador web,"Trabajo temporal relacionado con administración, python, mecánica automotriz, diseño gráfico.","Administración, Python, Mecánica automotriz, Diseño gráfico",2025-04-02,Cerrado
2233,Traductor,"Importante empresa solicita apoyo en el área de carpintería, servicio al cliente, traducción.","Carpintería, Servicio al cliente, Traducción",2024-12-01,Cerrado
2234,Instalador eléctrico,"Se requiere conocimiento en programación en java, traducción, css, tramitología.","Programación en Java, Traducción, CSS, Tramitología",2025-03-21,Cerrado
2235,Fotógrafo,"Se busca profesional con experiencia en inglés avanzado, instalaciones eléctricas, seo.","Inglés avanzado, Instalaciones eléctricas, SEO",2025-03-14,Abierto
2236,Community manager,"Importante empresa solicita apoyo en el área de mecánica automotriz, carpintería.","Mecánica automotriz, Carpintería",2024-12-11,Abierto
2237,Editor de video,"Trabajo temporal relacionado con diseño ux/ui, marketing digital, javascript.","Diseño UX/UI, Marketing digital, JavaScript",2025-04-18,Cerrado
2238,Auxiliar contable,"Se busca profesional con experiencia en css, electricidad.","CSS, Electricidad",2025-04-19,Cerrado
2239,Redactor de contenido,"Se busca profesional con experiencia en mecánica automotriz, css, administración.","Mecánica automotriz, CSS, Administración",2025-02-04,Cerrado
2240,Asistente administrativo,"Se requiere conocimiento en seo, javascript.","SEO, JavaScript",2025-01-23,Cerrado
2241,Desarrollador web,"Se requiere conocimiento en contabilidad, ventas, servicio al cliente, diseño gráfico.","Contabilidad, Ventas, Servicio al cliente, Diseño gráfico",2025-02-07,Abierto
2242,Editor de video,"Trabajo temporal relacionado con css, traducción, diseño ux/ui.","CSS, Traducción, Diseño UX/UI",2025-04-19,Cerrado
2243,Diseñador gráfico,"Se requiere conocimiento en programación en java, html, carpintería, diseño gráfico.","Programación en Java, HTML, Carpintería, Diseño gráfico",2024-12-18,Cerrado
2244,Fotógrafo,"Importante empresa solicita apoyo en el área de javascript, electricidad.","JavaScript, Electricidad",2025-02-23,Abierto
2245,Diseñador gráfico,"Se busca profesional con experiencia en photoshop, html, contabilidad.","Photoshop, HTML, Contabilidad",2024-12-21,Abierto
2246,Diseñador UX/UI,"Importante empresa solicita apoyo en el área de diseño ux/ui, servicio al cliente, javascript, contabilidad.","Diseño UX/UI, Servicio al cliente, JavaScript, Contabilidad",2024-12-27,Cerrado
2247,Maestro de matemáticas,"Se requiere conocimiento en ventas, electricidad, javascript.","Ventas, Electricidad, JavaScript",2025-04-08,Cerrado
2248,Profesor de inglés,"Importante empresa solicita apoyo en el área de carpintería, soporte técnico.","Carpintería, Soporte técnico",2025-03-16,Abierto
2249,Técnico en soporte,"Colaboración independiente para tareas de illustrator, diseño ux/ui, inglés avanzado, seo.","Illustrator, Diseño UX/UI, Inglés avanzado, SEO",2025-04-04,Abierto
2250,Editor de video,"Trabajo temporal relacionado con programación en java, tramitología, traducción.","Programación en Java, Tramitología, Traducción",2025-01-14,Abierto
2251,Diseñador gráfico,"Colaboración independiente para tareas de atención al cliente, contabilidad, illustrator.","Atención al cliente, Contabilidad, Illustrator",2025-03-20,Abierto
2252,Cocinero,"Se requiere conocimiento en diseño gráfico, programación en java.","Diseño gráfico, Programación en Java",2025-01-18,Cerrado
2253,Maestro de matemáticas,"Se requiere conocimiento en diseño ux/ui, inglés avanzado.","Diseño UX/UI, Inglés avanzado",2025-04-05,Abierto
2254,Técnico en soporte,"Importante empresa solicita apoyo en el área de photoshop, electricidad.","Photoshop, Electricidad",2025-04-24,Cerrado
2255,Asistente administrativo,"Se busca profesional con experiencia en redacción, illustrator, administración.","Redacción, Illustrator, Administración",2024-12-27,Cerrado
2256,Terapista físico,"Se requiere conocimiento en atención al cliente, diseño gráfico, marketing digital.","Atención al cliente, Diseño gráfico, Marketing digital",2025-04-02,Abierto
2257,Redactor de contenido,"Trabajo temporal relacionado con diseño ux/ui, contabilidad, marketing digital.","Diseño UX/UI, Contabilidad, Marketing digital",2025-01-11,Abierto
2258,Redactor de contenido,"Colaboración independiente para tareas de diseño gráfico, ventas, html, carpintería.","Diseño gráfico, Ventas, HTML, Carpintería",2025-03-23,Abierto
2259,Editor de video,"Colaboración independiente para tareas de carpintería, javascript, photoshop, inglés avanzado.","Carpintería, JavaScript, Photoshop, Inglés avanzado",2025-03-02,Abierto
2260,Especialista en SEO,"Se requiere conocimiento en python, programación en java, instalaciones eléctricas, illustrator.","Python, Programación en Java, Instalaciones eléctricas, Illustrator",2024-12-29,Cerrado
2261,Barista,"Importante empresa solicita apoyo en el área de mecánica automotriz, ventas, html.","Mecánica automotriz, Ventas, HTML",2025-03-05,Abierto
2262,Diseñador gráfico,"Importante empresa solicita apoyo en el área de seo, css.","SEO, CSS",2024-12-15,Cerrado
2263,Auxiliar contable,"Se busca profesional con experiencia en css, photoshop, javascript, traducción.","CSS, Photoshop, JavaScript, Traducción",2024-11-14,Abierto
2264,Instalador eléctrico,"Colaboración independiente para tareas de marketing digital, python.","Marketing digital, Python",2025-03-14,Cerrado
2265,Repartidor,"Se requiere conocimiento en tramitología, mecánica automotriz, redacción, css.","Tramitología, Mecánica automotriz, Redacción, CSS",2025-04-06,Abierto
2266,Electricista,"Importante empresa solicita apoyo en el área de diseño gráfico, atención al cliente, programación en java, terapia física.","Diseño gráfico, Atención al cliente, Programación en Java, Terapia Física",2025-01-17,Cerrado
2267,Mecánico automotriz,"Importante empresa solicita apoyo en el área de diseño gráfico, illustrator, diseño ux/ui, ventas.","Diseño gráfico, Illustrator, Diseño UX/UI, Ventas",2025-02-10,Abierto
2268,Profesor de inglés,"Importante empresa solicita apoyo en el área de diseño ux/ui, html.","Diseño UX/UI, HTML",2024-12-01,Abierto
2269,Mecánico automotriz,"Se busca profesional con experiencia en redacción, tramitología, electricidad.","Redacción, Tramitología, Electricidad",2025-04-17,Abierto
2270,Terapista físico,"Se requiere conocimiento en diseño gráfico, electricidad, css.","Diseño gráfico, Electricidad, CSS",2024-11-05,Abierto
2271,Programador Python,"Trabajo temporal relacionado con mecánica automotriz, servicio al cliente.","Mecánica automotriz, Servicio al cliente",2025-03-21,Abierto
2272,Mecánico automotriz,"Se requiere conocimiento en python, seo, administración, atención al cliente.","Python, SEO, Administración, Atención al cliente",2025-01-11,Cerrado
2273,Instalador eléctrico,"Se busca profesional con experiencia en mecánica automotriz, diseño ux/ui, soporte técnico, inglés avanzado.","Mecánica automotriz, Diseño UX/UI, Soporte técnico, Inglés avanzado",2025-01-22,Cerrado
2274,Instalador eléctrico,"Importante empresa solicita apoyo en el área de carpintería, css, html, javascript.","Carpintería, CSS, HTML, JavaScript",2025-04-21,Abierto
2275,Vendedor telefónico,"Trabajo temporal relacionado con electricidad, servicio al cliente.","Electricidad, Servicio al cliente",2025-01-13,Cerrado
2276,Terapista físico,"Trabajo temporal relacionado con tramitología, illustrator, redacción, programación en java.","Tramitología, Illustrator, Redacción, Programación en Java",2025-01-17,Abierto
2277,Asistente administrativo,"Importante empresa solicita apoyo en el área de instalaciones eléctricas, terapia física.","Instalaciones eléctricas, Terapia Física",2025-02-03,Cerrado
2278,Profesor de inglés,"Importante empresa solicita apoyo en el área de electricidad, servicio al cliente, tramitología, css.","Electricidad, Servicio al cliente, Tramitología, CSS",2025-03-24,Abierto
2279,Enfermero auxiliar,"Se busca profesional con experiencia en javascript, soporte técnico.","JavaScript, Soporte técnico",2024-11-24,Abierto
2280,Barista,"Se requiere conocimiento en photoshop, carpintería, css, redacción.","Photoshop, Carpintería, CSS, Redacción",2025-02-23,Cerrado
2281,Vendedor telefónico,"Trabajo temporal relacionado con python, contabilidad, programación en java, javascript.","Python, Contabilidad, Programación en Java, JavaScript",2025-01-30,Abierto
2282,Terapista físico,"Se busca profesional con experiencia en diseño gráfico, marketing digital, javascript, instalaciones eléctricas.","Diseño gráfico, Marketing digital, JavaScript, Instalaciones eléctricas",2024-12-11,Abierto
2283,Profesor de inglés,"Se requiere conocimiento en ventas, diseño ux/ui, illustrator.","Ventas, Diseño UX/UI, Illustrator",2025-02-25,Abierto
2284,Cocinero,"Colaboración independiente para tareas de seo, servicio al cliente, redacción, ciencia de datos.","SEO, Servicio al cliente, Redacción, Ciencia de datos",2024-12-09,Cerrado
2285,Profesor de inglés,"Trabajo temporal relacionado con electricidad, html.","Electricidad, HTML",2025-04-21,Abierto
2286,Maestro de matemáticas,"Trabajo temporal relacionado con terapia física, photoshop, administración.","Terapia Física, Photoshop, Administración",2024-12-21,Cerrado
2287,Diseñador gráfico,"Importante empresa solicita apoyo en el área de diseño gráfico, html, python, javascript.","Diseño gráfico, HTML, Python, JavaScript",2024-11-01,Abierto
2288,Cocinero,"Se requiere conocimiento en inglés avanzado, javascript.","Inglés avanzado, JavaScript",2024-12-04,Cerrado
2289,Auxiliar contable,"Colaboración independiente para tareas de diseño gráfico, programación en java, inglés avanzado.","Diseño gráfico, Programación en Java, Inglés avanzado",2025-04-02,Abierto
2290,Redactor de contenido,"Colaboración independiente para tareas de servicio al cliente, instalaciones eléctricas, administración, ventas.","Servicio al cliente, Instalaciones eléctricas, Administración, Ventas",2024-12-23,Abierto
2291,Redactor de contenido,"Se requiere conocimiento en photoshop, ciencia de datos.","Photoshop, Ciencia de datos",2025-01-12,Abierto
2292,Profesor de inglés,"Trabajo temporal relacionado con marketing digital, traducción.","Marketing digital, Traducción",2024-11-12,Abierto
2293,Mecánico automotriz,"Trabajo temporal relacionado con atención al cliente, python, seo, redacción.","Atención al cliente, Python, SEO, Redacción",2025-01-24,Abierto
2294,Community manager,"Se busca profesional con experiencia en inglés avanzado, mecánica automotriz, redacción.","Inglés avanzado, Mecánica automotriz, Redacción",2024-12-30,Abierto
2295,Electricista,"Se busca profesional con experiencia en ventas, illustrator.","Ventas, Illustrator",2024-11-21,Cerrado
2296,Maestro de matemáticas,"Se requiere conocimiento en html, ciencia de datos, electricidad, terapia física.","HTML, Ciencia de datos, Electricidad, Terapia Física",2024-12-16,Abierto
2297,Traductor,"Importante empresa solicita apoyo en el área de inglés avanzado, terapia física, marketing digital.","Inglés avanzado, Terapia Física, Marketing digital",2025-03-01,Cerrado
2298,Instalador eléctrico,"Colaboración independiente para tareas de photoshop, inglés avanzado.","Photoshop, Inglés avanzado",2025-03-12,Cerrado
2299,Instalador eléctrico,"Se busca profesional con experiencia en traducción, administración.","Traducción, Administración",2025-03-13,Abierto
2300,Electricista,"Se busca profesional con experiencia en python, soporte técnico, marketing digital.","Python, Soporte técnico, Marketing digital",2024-11-01,Abierto
2301,Psicólogo educativo,"Importante empresa solicita apoyo en el área de diseño ux/ui, photoshop, tramitología.","Diseño UX/UI, Photoshop, Tramitología",2024-11-30,Abierto
2302,Cocinero,"Colaboración independiente para tareas de python, css, programación en java.","Python, CSS, Programación en Java",2025-01-19,Abierto
2303,Mecánico automotriz,"Se busca profesional con experiencia en mecánica automotriz, python.","Mecánica automotriz, Python",2025-01-29,Cerrado
2304,Maestro de matemáticas,"Colaboración independiente para tareas de javascript, administración.","JavaScript, Administración",2025-01-19,Cerrado
2305,Desarrollador web,"Se requiere conocimiento en photoshop, carpintería.","Photoshop, Carpintería",2025-02-03,Cerrado
2306,Community manager,"Trabajo temporal relacionado con inglés avanzado, mecánica automotriz, instalaciones eléctricas, python.","Inglés avanzado, Mecánica automotriz, Instalaciones eléctricas, Python",2025-02-10,Abierto
2307,Diseñador gráfico,"Colaboración independiente para tareas de soporte técnico, contabilidad, atención al cliente.","Soporte técnico, Contabilidad, Atención al cliente",2025-04-21,Cerrado
2308,Instalador eléctrico,"Importante empresa solicita apoyo en el área de css, servicio al cliente, ventas.","CSS, Servicio al cliente, Ventas",2024-12-22,Abierto
2309,Cocinero,"Colaboración independiente para tareas de diseño gráfico, administración, diseño ux/ui.","Diseño gráfico, Administración, Diseño UX/UI",2025-04-24,Cerrado
2310,Electricista,"Colaboración independiente para tareas de soporte técnico, servicio al cliente, marketing digital, css.","Soporte técnico, Servicio al cliente, Marketing digital, CSS",2025-03-31,Cerrado
2311,Electricista,"Colaboración independiente para tareas de seo, instalaciones eléctricas, ciencia de datos.","SEO, Instalaciones eléctricas, Ciencia de datos",2025-04-13,Cerrado
2312,Terapista físico,"Importante empresa solicita apoyo en el área de soporte técnico, inglés avanzado, python.","Soporte técnico, Inglés avanzado, Python",2025-04-02,Cerrado
2313,Community manager,"Se requiere conocimiento en soporte técnico, ventas, mecánica automotriz, servicio al cliente.","Soporte técnico, Ventas, Mecánica automotriz, Servicio al cliente",2025-03-16,Abierto
2314,Profesor de inglés,"Se requiere conocimiento en photoshop, ciencia de datos.","Photoshop, Ciencia de datos",2025-02-27,Cerrado
2315,Asistente administrativo,"Se busca profesional con experiencia en administración, programación en java.","Administración, Programación en Java",2025-04-01,Cerrado
2316,Maestro de matemáticas,"Importante empresa solicita apoyo en el área de servicio al cliente, administración.","Servicio al cliente, Administración",2024-11-16,Abierto
2317,Instalador eléctrico,"Colaboración independiente para tareas de illustrator, inglés avanzado.","Illustrator, Inglés avanzado",2024-12-10,Abierto
2318,Repartidor,"Colaboración independiente para tareas de inglés avanzado, javascript, diseño gráfico, contabilidad.","Inglés avanzado, JavaScript, Diseño gráfico, Contabilidad",2025-03-26,Cerrado
2319,Editor de video,"Se busca profesional con experiencia en diseño gráfico, terapia física, photoshop.","Diseño gráfico, Terapia Física, Photoshop",2025-03-13,Abierto
2320,Auxiliar contable,"Se busca profesional con experiencia en terapia física, marketing digital.","Terapia Física, Marketing digital",2025-04-14,Abierto
2321,Redactor de contenido,"Importante empresa solicita apoyo en el área de electricidad, javascript, illustrator.","Electricidad, JavaScript, Illustrator",2025-02-06,Cerrado
2322,Asistente administrativo,"Colaboración independiente para tareas de ciencia de datos, redacción, marketing digital, css.","Ciencia de datos, Redacción, Marketing digital, CSS",2024-12-03,Cerrado
2323,Repartidor,"Se busca profesional con experiencia en mecánica automotriz, administración, ventas, redacción.","Mecánica automotriz, Administración, Ventas, Redacción",2025-01-06,Cerrado
2324,Traductor,"Importante empresa solicita apoyo en el área de tramitología, mecánica automotriz, html, atención al cliente.","Tramitología, Mecánica automotriz, HTML, Atención al cliente",2024-12-29,Abierto
2325,Traductor,"Importante empresa solicita apoyo en el área de ventas, electricidad.","Ventas, Electricidad",2025-01-05,Cerrado
2326,Cocinero,"Importante empresa solicita apoyo en el área de mecánica automotriz, atención al cliente, electricidad, seo.","Mecánica automotriz, Atención al cliente, Electricidad, SEO",2024-11-17,Cerrado
2327,Barista,"Importante empresa solicita apoyo en el área de javascript, ciencia de datos.","JavaScript, Ciencia de datos",2024-11-02,Cerrado
2328,Traductor,"Se requiere conocimiento en diseño gráfico, soporte técnico.","Diseño gráfico, Soporte técnico",2025-03-07,Abierto
2329,Terapista físico,"Importante empresa solicita apoyo en el área de servicio al cliente, marketing digital, instalaciones eléctricas, html.","Servicio al cliente, Marketing digital, Instalaciones eléctricas, HTML",2024-11-16,Abierto
2330,Diseñador UX/UI,"Importante empresa solicita apoyo en el área de contabilidad, administración, marketing digital, traducción.","Contabilidad, Administración, Marketing digital, Traducción",2025-03-18,Abierto
2331,Cocinero,"Colaboración independiente para tareas de terapia física, electricidad, ventas.","Terapia Física, Electricidad, Ventas",2025-02-17,Cerrado
2332,Auxiliar contable,"Se requiere conocimiento en seo, traducción, javascript.","SEO, Traducción, JavaScript",2025-01-12,Abierto
2333,Terapista físico,"Importante empresa solicita apoyo en el área de marketing digital, ventas, css.","Marketing digital, Ventas, CSS",2025-02-08,Abierto
2334,Redactor de contenido,"Colaboración independiente para tareas de diseño gráfico, diseño ux/ui, tramitología.","Diseño gráfico, Diseño UX/UI, Tramitología",2025-04-02,Abierto
2335,Community manager,"Importante empresa solicita apoyo en el área de inglés avanzado, administración, tramitología.","Inglés avanzado, Administración, Tramitología",2025-02-13,Cerrado
2336,Psicólogo educativo,"Importante empresa solicita apoyo en el área de soporte técnico, html.","Soporte técnico, HTML",2024-12-28,Cerrado
2337,Diseñador industrial,"Se busca profesional con experiencia en tramitología, marketing digital, soporte técnico.","Tramitología, Marketing digital, Soporte técnico",2025-01-22,Abierto
2338,Cocinero,"Colaboración independiente para tareas de marketing digital, ciencia de datos, diseño gráfico.","Marketing digital, Ciencia de datos, Diseño gráfico",2025-01-26,Abierto
2339,Programador Python,"Trabajo temporal relacionado con ventas, redacción.","Ventas, Redacción",2025-04-11,Cerrado
2340,Desarrollador web,"Se busca profesional con experiencia en html, python.","HTML, Python",2025-02-07,Cerrado
2341,Instalador eléctrico,"Trabajo temporal relacionado con marketing digital, carpintería, diseño gráfico.","Marketing digital, Carpintería, Diseño gráfico",2024-12-12,Abierto
2342,Traductor,"Se busca profesional con experiencia en inglés avanzado, contabilidad, redacción, ventas.","Inglés avanzado, Contabilidad, Redacción, Ventas",2025-03-29,Cerrado
2343,Psicólogo educativo,"Importante empresa solicita apoyo en el área de programación en java, photoshop.","Programación en Java, Photoshop",2025-02-18,Abierto
2344,Técnico en soporte,"Colaboración independiente para tareas de illustrator, carpintería, traducción, terapia física.","Illustrator, Carpintería, Traducción, Terapia Física",2025-04-04,Abierto
2345,Diseñador UX/UI,"Se requiere conocimiento en marketing digital, diseño gráfico, tramitología.","Marketing digital, Diseño gráfico, Tramitología",2025-04-04,Cerrado
2346,Terapista físico,"Trabajo temporal relacionado con soporte técnico, terapia física.","Soporte técnico, Terapia Física",2025-04-01,Cerrado
2347,Auxiliar contable,"Trabajo temporal relacionado con atención al cliente, javascript, seo, illustrator.","Atención al cliente, JavaScript, SEO, Illustrator",2025-04-10,Abierto
2348,Community manager,"Colaboración independiente para tareas de seo, atención al cliente, photoshop.","SEO, Atención al cliente, Photoshop",2025-03-16,Abierto
2349,Electricista,"Colaboración independiente para tareas de javascript, tramitología, inglés avanzado.","JavaScript, Tramitología, Inglés avanzado",2025-03-06,Cerrado
2350,Electricista,"Trabajo temporal relacionado con tramitología, atención al cliente.","Tramitología, Atención al cliente",2024-10-30,Abierto
2351,Asistente administrativo,"Colaboración independiente para tareas de mecánica automotriz, servicio al cliente, python.","Mecánica automotriz, Servicio al cliente, Python",2025-03-14,Cerrado
2352,Profesor de inglés,"Se requiere conocimiento en marketing digital, electricidad.","Marketing digital, Electricidad",2024-11-04,Cerrado
2353,Editor de video,"Colaboración independiente para tareas de ventas, tramitología, inglés avanzado.","Ventas, Tramitología, Inglés avanzado",2025-04-24,Abierto
2354,Vendedor telefónico,"Importante empresa solicita apoyo en el área de diseño ux/ui, mecánica automotriz, marketing digital, traducción.","Diseño UX/UI, Mecánica automotriz, Marketing digital, Traducción",2025-01-10,Abierto
2355,Diseñador UX/UI,"Se requiere conocimiento en python, electricidad.","Python, Electricidad",2024-11-27,Cerrado
2356,Psicólogo educativo,"Se busca profesional con experiencia en inglés avanzado, terapia física, css, photoshop.","Inglés avanzado, Terapia Física, CSS, Photoshop",2025-03-10,Abierto
2357,Diseñador UX/UI,"Trabajo temporal relacionado con carpintería, administración, ciencia de datos, servicio al cliente.","Carpintería, Administración, Ciencia de datos, Servicio al cliente",2024-12-30,Cerrado
2358,Desarrollador web,"Importante empresa solicita apoyo en el área de python, seo, ciencia de datos.","Python, SEO, Ciencia de datos",2025-02-24,Cerrado
2359,Barista,"Se requiere conocimiento en carpintería, contabilidad, instalaciones eléctricas.","Carpintería, Contabilidad, Instalaciones eléctricas",2025-03-03,Cerrado
2360,Asistente administrativo,"Colaboración independiente para tareas de instalaciones eléctricas, diseño gráfico, illustrator, servicio al cliente.","Instalaciones eléctricas, Diseño gráfico, Illustrator, Servicio al cliente",2025-03-13,Cerrado
2361,Electricista,"Importante empresa solicita apoyo en el área de css, programación en java, administración, tramitología.","CSS, Programación en Java, Administración, Tramitología",2024-12-11,Cerrado
2362,Community manager,"Se busca profesional con experiencia en python, atención al cliente, programación en java, css.","Python, Atención al cliente, Programación en Java, CSS",2025-03-11,Abierto
2363,Técnico en soporte,"Colaboración independiente para tareas de diseño ux/ui, ciencia de datos, soporte técnico.","Diseño UX/UI, Ciencia de datos, Soporte técnico",2025-01-10,Cerrado
2364,Diseñador UX/UI,"Importante empresa solicita apoyo en el área de atención al cliente, contabilidad, illustrator.","Atención al cliente, Contabilidad, Illustrator",2025-02-03,Cerrado
2365,Enfermero auxiliar,"Se busca profesional con experiencia en programación en java, redacción, administración, diseño gráfico.","Programación en Java, Redacción, Administración, Diseño gráfico",2024-10-31,Cerrado
2366,Especialista en SEO,"Importante empresa solicita apoyo en el área de servicio al cliente, atención al cliente.","Servicio al cliente, Atención al cliente",2024-11-11,Abierto
2367,Barista,"Se busca profesional con experiencia en redacción, administración.","Redacción, Administración",2025-03-01,Cerrado
2368,Desarrollador web,"Importante empresa solicita apoyo en el área de diseño gráfico, administración.","Diseño gráfico, Administración",2025-04-24,Cerrado
2369,Asistente administrativo,"Se requiere conocimiento en servicio al cliente, redacción, illustrator.","Servicio al cliente, Redacción, Illustrator",2024-12-13,Cerrado
2370,Técnico en soporte,"Se requiere conocimiento en atención al cliente, python, instalaciones eléctricas, contabilidad.","Atención al cliente, Python, Instalaciones eléctricas, Contabilidad",2025-02-09,Abierto
2371,Diseñador gráfico,"Se busca profesional con experiencia en diseño gráfico, illustrator, redacción, instalaciones eléctricas.","Diseño gráfico, Illustrator, Redacción, Instalaciones eléctricas",2025-04-21,Cerrado
2372,Vendedor telefónico,"Se requiere conocimiento en marketing digital, redacción, inglés avanzado.","Marketing digital, Redacción, Inglés avanzado",2025-02-08,Cerrado
2373,Redactor de contenido,"Se busca profesional con experiencia en mecánica automotriz, carpintería, inglés avanzado.","Mecánica automotriz, Carpintería, Inglés avanzado",2025-03-15,Cerrado
2374,Vendedor telefónico,"Trabajo temporal relacionado con photoshop, carpintería.","Photoshop, Carpintería",2024-11-22,Cerrado
2375,Mecánico automotriz,"Se busca profesional con experiencia en javascript, atención al cliente, servicio al cliente.","JavaScript, Atención al cliente, Servicio al cliente",2025-03-20,Cerrado
2376,Diseñador UX/UI,"Se busca profesional con experiencia en python, marketing digital, traducción.","Python, Marketing digital, Traducción",2025-03-24,Cerrado
2377,Diseñador industrial,"Colaboración independiente para tareas de instalaciones eléctricas, photoshop, programación en java, carpintería.","Instalaciones eléctricas, Photoshop, Programación en Java, Carpintería",2024-12-28,Abierto
2378,Traductor,"Se busca profesional con experiencia en diseño ux/ui, traducción.","Diseño UX/UI, Traducción",2024-11-07,Abierto
2379,Vendedor telefónico,"Se requiere conocimiento en traducción, redacción, mecánica automotriz, ciencia de datos.","Traducción, Redacción, Mecánica automotriz, Ciencia de datos",2025-01-09,Abierto
2380,Fotógrafo,"Se busca profesional con experiencia en html, photoshop, programación en java, ciencia de datos.","HTML, Photoshop, Programación en Java, Ciencia de datos",2024-12-29,Abierto
2381,Profesor de inglés,"Se requiere conocimiento en inglés avanzado, javascript, administración.","Inglés avanzado, JavaScript, Administración",2025-01-18,Abierto
2382,Cocinero,"Importante empresa solicita apoyo en el área de diseño gráfico, ventas, html.","Diseño gráfico, Ventas, HTML",2025-03-06,Abierto
2383,Instalador eléctrico,"Trabajo temporal relacionado con javascript, atención al cliente, marketing digital.","JavaScript, Atención al cliente, Marketing digital",2025-04-18,Abierto
2384,Diseñador industrial,"Importante empresa solicita apoyo en el área de diseño gráfico, ventas, tramitología, atención al cliente.","Diseño gráfico, Ventas, Tramitología, Atención al cliente",2024-12-10,Abierto
2385,Barista,"Colaboración independiente para tareas de traducción, atención al cliente, soporte técnico.","Traducción, Atención al cliente, Soporte técnico",2025-02-10,Abierto
2386,Diseñador industrial,"Se requiere conocimiento en seo, javascript.","SEO, JavaScript",2024-11-17,Abierto
2387,Profesor de inglés,"Se requiere conocimiento en mecánica automotriz, soporte técnico.","Mecánica automotriz, Soporte técnico",2025-01-27,Cerrado
2388,Diseñador gráfico,"Se busca profesional con experiencia en diseño ux/ui, traducción, administración.","Diseño UX/UI, Traducción, Administración",2024-12-21,Abierto
2389,Especialista en SEO,"Se requiere conocimiento en carpintería, redacción, diseño ux/ui.","Carpintería, Redacción, Diseño UX/UI",2025-01-05,Cerrado
2390,Diseñador gráfico,"Colaboración independiente para tareas de tramitología, contabilidad, html.","Tramitología, Contabilidad, HTML",2024-11-04,Abierto
2391,Asistente administrativo,"Trabajo temporal relacionado con inglés avanzado, html, programación en java.","Inglés avanzado, HTML, Programación en Java",2024-12-31,Cerrado
2392,Profesor de inglés,"Se requiere conocimiento en ventas, diseño gráfico, tramitología.","Ventas, Diseño gráfico, Tramitología",2025-03-02,Abierto
2393,Instalador eléctrico,"Se requiere conocimiento en atención al cliente, html, diseño ux/ui.","Atención al cliente, HTML, Diseño UX/UI",2025-03-10,Abierto
2394,Redactor de contenido,"Importante empresa solicita apoyo en el área de diseño ux/ui, python, seo.","Diseño UX/UI, Python, SEO",2025-03-18,Cerrado
2395,Psicólogo educativo,"Importante empresa solicita apoyo en el área de ventas, html.","Ventas, HTML",2025-03-03,Abierto
2396,Electricista,"Colaboración independiente para tareas de seo, marketing digital, electricidad, terapia física.","SEO, Marketing digital, Electricidad, Terapia Física",2024-11-18,Abierto
2397,Terapista físico,"Se busca profesional con experiencia en ciencia de datos, mecánica automotriz, soporte técnico, programación en java.","Ciencia de datos, Mecánica automotriz, Soporte técnico, Programación en Java",2025-03-03,Abierto
2398,Diseñador UX/UI,"Se busca profesional con experiencia en tramitología, administración, electricidad, mecánica automotriz.","Tramitología, Administración, Electricidad, Mecánica automotriz",2024-12-04,Abierto
2399,Enfermero auxiliar,"Trabajo temporal relacionado con traducción, contabilidad, diseño gráfico, marketing digital.","Traducción, Contabilidad, Diseño gráfico, Marketing digital",2025-02-11,Cerrado
2400,Maestro de matemáticas,"Importante empresa solicita apoyo en el área de css, javascript, mecánica automotriz.","CSS, JavaScript, Mecánica automotriz",2025-04-10,Abierto
2401,Fotógrafo,"Trabajo temporal relacionado con photoshop, contabilidad, administración.","Photoshop, Contabilidad, Administración",2024-11-28,Cerrado
2402,Instalador eléctrico,"Importante empresa solicita apoyo en el área de atención al cliente, traducción.","Atención al cliente, Traducción",2024-12-30,Cerrado
2403,Diseñador UX/UI,"Se busca profesional con experiencia en traducción, redacción.","Traducción, Redacción",2025-01-18,Abierto
2404,Electricista,"Importante empresa solicita apoyo en el área de ciencia de datos, traducción.","Ciencia de datos, Traducción",2025-04-13,Abierto
2405,Programador Python,"Colaboración independiente para tareas de redacción, diseño ux/ui, atención al cliente.","Redacción, Diseño UX/UI, Atención al cliente",2024-11-30,Abierto
2406,Editor de video,"Colaboración independiente para tareas de photoshop, python, servicio al cliente, html.","Photoshop, Python, Servicio al cliente, HTML",2025-02-23,Cerrado
