habilidades,experiencia_lab,calificacion,nivel,profesion,ID,disponibilidad
"Instalaciones eléctricas, Photoshop, Diseño UX/UI, Redacción",9,5.0,Medio,Otro,680,Tiempo completo
"Marketing digital, Terapia Física, Inglés avanzado, HTML",12,4.3,Senior,Otro,681,Tiempo completo
"Contabilidad, Ventas, Redacción, Traducción, Carpintería",18,3.0,Senior,Otro,682,Tiempo completo
"Mecánica automotriz, Redacción, Traducción, Electricidad",6,1.6,Senior,Otro,683,Tiempo completo
"Electricidad, Illustrator, Python, Contabilidad",12,4.5,Medio,Otro,684,Tiempo completo
"Mecánica automotriz, Python, SEO, Tramitología",12,3.4,Junior,Otro,685,Tiempo completo
"Redacción, Administración, Atención al cliente",8,4.4,Junior,Otro,686,Medio tiempo
"Electricidad, Illustrator, Marketing digital, Instalaciones eléctricas",10,3.9,Senior,Otro,687,Medio tiempo
"Programación en Java, Instalaciones eléctricas, CSS, Redacción, Terapia Física",4,1.5,Senior,Otro,688,Tiempo completo
"Diseño gráfico, Traducción, Ventas, Ciencia de datos",14,2.4,Medio,Otro,689,Tiempo completo
"Instalaciones eléctricas, Carpintería, Inglés avanzado, Soporte técnico",15,4.4,Senior,Otro,690,Tiempo completo
"Ciencia de datos, Soporte técnico, JavaScript, SEO, Terapia Física",2,2.9,Medio,Otro,691,Medio tiempo
"Instalaciones eléctricas, Ciencia de datos, Soporte técnico",17,2.8,Medio,Licenciado,692,Medio tiempo
"Ventas, Programación en Java, Mecánica automotriz, Diseño gráfico, Contabilidad",1,4.5,Senior,Otro,693,Tiempo completo
"Servicio al cliente, JavaScript, Soporte técnico",3,4.7,Senior,Otro,694,Medio tiempo
"Ciencia de datos, Electricidad, Mecánica automotriz, Diseño gráfico",19,1.3,Medio,Otro,695,Tiempo completo
"CSS, Atención al cliente, Soporte técnico, Inglés avanzado",14,3.7,Senior,Ingeniero,696,Medio tiempo
"Mecánica automotriz, Contabilidad, Diseño UX/UI, Carpintería, Illustrator",1,4.0,Senior,Otro,697,Medio tiempo
"Diseño gráfico, Tramitología, Administración",4,1.4,Medio,Otro,698,Tiempo completo
"JavaScript, Servicio al cliente, Terapia Física, CSS",18,3.1,Medio,Otro,699,Tiempo completo
"Servicio al cliente, Marketing digital, JavaScript, Terapia Física",13,3.8,Senior,Otro,700,Tiempo completo
"Python, Atención al cliente, Mecánica automotriz",11,2.7,Junior,Otro,701,Tiempo completo
"Terapia Física, Marketing digital, Diseño gráfico, Contabilidad",17,2.9,Senior,Otro,702,Medio tiempo
"SEO, Ciencia de datos, Servicio al cliente, Redacción, Python",6,2.0,Medio,Otro,703,Tiempo completo
"HTML, Inglés avanzado, Instalaciones eléctricas, CSS",15,4.9,Medio,Otro,704,Medio tiempo
"JavaScript, Mecánica automotriz, Diseño UX/UI, Ciencia de datos, Soporte técnico",1,1.8,Medio,Otro,705,Tiempo completo
"Traducción, Illustrator, Electricidad, Contabilidad, Python",15,3.9,Junior,Otro,706,Medio tiempo
"Illustrator, Ventas, Diseño gráfico",20,2.4,Senior,Otro,707,Tiempo completo
"Atención al cliente, Mecánica automotriz, Traducción",18,4.9,Medio,Otro,708,Tiempo completo
"Soporte técnico, Ciencia de datos, CSS, Servicio al cliente",14,3.1,Junior,Otro,709,Tiempo completo
"Python, Redacción, Diseño UX/UI",17,2.1,Medio,Otro,710,Medio tiempo
"Instalaciones eléctricas, SEO, Electricidad, Marketing digital",9,3.6,Senior,Otro,711,Medio tiempo
"Mecánica automotriz, Diseño UX/UI, HTML",1,1.3,Medio,Otro,712,Medio tiempo
"Mecánica automotriz, Ventas, HTML",4,2.7,Senior,Otro,713,Tiempo completo
"SEO, Python, Carpintería, Redacción, Marketing digital",6,1.1,Junior,Otro,714,Medio tiempo
"Inglés avanzado, Illustrator, HTML, Electricidad",5,4.8,Junior,Otro,715,Tiempo completo
"Ciencia de datos, Illustrator, Administración, Soporte técnico",14,4.5,Junior,Otro,716,Tiempo completo
"Programación en Java, Redacción, Inglés avanzado, SEO",10,1.8,Medio,Otro,717,Medio tiempo
"Mecánica automotriz, Carpintería, Programación en Java, Atención al cliente, Ciencia de datos",10,2.8,Senior,Otro,718,Medio tiempo
"Ciencia de datos, Redacción, Diseño gráfico, Mecánica automotriz, Administración",5,4.5,Medio,Otro,719,Medio tiempo
"Illustrator, JavaScript, Administración",6,4.3,Medio,Otro,720,Tiempo completo
"Diseño UX/UI, Contabilidad, Inglés avanzado, Redacción, JavaScript",17,1.9,Medio,Ingeniero,721,Medio tiempo
"Redacción, Diseño gráfico, HTML",20,1.6,Junior,Otro,722,Tiempo completo
"Terapia Física, Electricidad, Tramitología, Contabilidad",11,2.0,Medio,Ingeniero,723,Medio tiempo
"Redacción, JavaScript, Programación en Java",20,4.8,Senior,Ingeniero,724,Medio tiempo
"Administración, Inglés avanzado, Redacción, Electricidad",16,1.6,Senior,Otro,725,Tiempo completo
"Carpintería, Redacción, Instalaciones eléctricas",15,3.0,Junior,Otro,726,Medio tiempo
"Redacción, Python, Programación en Java, Instalaciones eléctricas, HTML",15,4.1,Medio,Otro,727,Medio tiempo
"Ciencia de datos, JavaScript, Diseño UX/UI, Administración, Contabilidad",4,1.1,Senior,Otro,728,Medio tiempo
"Illustrator, Contabilidad, Carpintería, Inglés avanzado, Tramitología",5,4.1,Medio,Otro,729,Tiempo completo
"Programación en Java, Redacción, Photoshop, JavaScript",1,1.4,Medio,Otro,730,Tiempo completo
"Atención al cliente, Python, Tramitología, Terapia Física, Mecánica automotriz",6,3.9,Senior,Otro,731,Medio tiempo
"Python, Carpintería, Terapia Física, Administración",6,3.9,Senior,Otro,732,Medio tiempo
"Ciencia de datos, Redacción, Contabilidad, Atención al cliente, Administración",9,3.2,Junior,Ingeniero,733,Medio tiempo
"CSS, Redacción, Servicio al cliente, Diseño UX/UI, Soporte técnico",11,2.1,Junior,Ingeniero,734,Medio tiempo
"Traducción, Diseño gráfico, Ventas, Inglés avanzado, Terapia Física",20,1.8,Junior,Otro,735,Tiempo completo
"CSS, Diseño gráfico, Python",1,3.3,Medio,Otro,736,Medio tiempo
"Ciencia de datos, Instalaciones eléctricas, Marketing digital, JavaScript",3,3.9,Senior,Otro,737,Medio tiempo
"Administración, Contabilidad, Marketing digital, Programación en Java, Soporte técnico",9,1.4,Junior,Otro,738,Tiempo completo
"Python, Soporte técnico, Traducción, Tramitología",18,1.6,Senior,Otro,739,Medio tiempo
"HTML, Redacción, Mecánica automotriz, Soporte técnico, Atención al cliente",12,4.1,Senior,Otro,740,Medio tiempo
"Redacción, Python, Marketing digital, Photoshop",13,4.8,Junior,Otro,741,Tiempo completo
"SEO, Marketing digital, Diseño gráfico",15,4.9,Senior,Otro,742,Tiempo completo
"JavaScript, Ciencia de datos, Inglés avanzado",4,1.0,Senior,Otro,743,Tiempo completo
"CSS, Inglés avanzado, Soporte técnico, SEO, Tramitología",17,3.3,Senior,Otro,744,Tiempo completo
"Traducción, Soporte técnico, JavaScript",10,4.3,Medio,Otro,745,Medio tiempo
"Mecánica automotriz, Administración, Python, SEO, Redacción",11,1.3,Medio,Otro,746,Tiempo completo
"Python, Servicio al cliente, Ventas, Carpintería",17,2.6,Medio,Otro,747,Tiempo completo
"Servicio al cliente, CSS, Programación en Java, Redacción",8,3.5,Junior,Licenciado,748,Medio tiempo
"Programación en Java, JavaScript, Contabilidad",6,4.4,Medio,Otro,749,Medio tiempo
"Atención al cliente, SEO, Photoshop, Ventas, Contabilidad",13,4.9,Junior,Otro,750,Medio tiempo
"Atención al cliente, Mecánica automotriz, Traducción, Ventas, Terapia Física",13,2.9,Junior,Otro,751,Tiempo completo
"Electricidad, Administración, Atención al cliente, Programación en Java, Inglés avanzado",8,2.9,Medio,Otro,752,Medio tiempo
"Diseño UX/UI, CSS, Diseño gráfico",17,3.8,Senior,Otro,753,Tiempo completo
"Ciencia de datos, Contabilidad, Servicio al cliente",10,3.2,Junior,Otro,754,Tiempo completo
"Redacción, Electricidad, Programación en Java",3,3.8,Junior,Otro,755,Medio tiempo
"Terapia Física, SEO, CSS",1,3.5,Medio,Otro,756,Tiempo completo
"Mecánica automotriz, Ventas, Contabilidad",15,3.4,Junior,Otro,757,Medio tiempo
"JavaScript, Python, Servicio al cliente, Diseño UX/UI",4,1.3,Senior,Otro,758,Tiempo completo
"SEO, Tramitología, Traducción",19,4.5,Senior,Otro,759,Medio tiempo
"Soporte técnico, Marketing digital, Python, Electricidad",5,2.6,Medio,Otro,760,Tiempo completo
"Photoshop, Redacción, JavaScript",12,2.5,Junior,Otro,761,Tiempo completo
"HTML, Instalaciones eléctricas, Photoshop",9,2.1,Junior,Otro,762,Medio tiempo
"Marketing digital, Programación en Java, Instalaciones eléctricas, CSS",18,1.5,Junior,Otro,763,Tiempo completo
"Terapia Física, Tramitología, Electricidad, Carpintería",4,4.8,Junior,Otro,764,Medio tiempo
"JavaScript, HTML, Tramitología, Ciencia de datos",15,3.1,Junior,Ingeniero,765,Medio tiempo
"Soporte técnico, Contabilidad, Carpintería, Electricidad, Diseño UX/UI",9,3.7,Medio,Otro,766,Medio tiempo
"Servicio al cliente, Ventas, JavaScript",18,3.5,Medio,Otro,767,Tiempo completo
"Contabilidad, Photoshop, Inglés avanzado, Servicio al cliente, Electricidad",18,1.4,Medio,Otro,768,Medio tiempo
"Inglés avanzado, Illustrator, Ciencia de datos, Redacción, Marketing digital",12,5.0,Medio,Otro,769,Tiempo completo
"Diseño gráfico, Inglés avanzado, Servicio al cliente",17,4.2,Medio,Otro,770,Tiempo completo
"SEO, Inglés avanzado, Terapia Física, Carpintería, Mecánica automotriz",5,2.0,Medio,Otro,771,Medio tiempo
"CSS, Diseño gráfico, Inglés avanzado, Mecánica automotriz",9,4.6,Senior,Otro,772,Medio tiempo
"JavaScript, Ventas, Servicio al cliente",18,4.5,Senior,Otro,773,Tiempo completo
"Traducción, Terapia Física, Marketing digital",10,2.2,Medio,Otro,774,Tiempo completo
"Diseño UX/UI, Ventas, Inglés avanzado, Mecánica automotriz, Terapia Física",12,2.6,Senior,Otro,775,Medio tiempo
"Inglés avanzado, Redacción, JavaScript, Instalaciones eléctricas, Soporte técnico",12,5.0,Medio,Otro,776,Tiempo completo
"Photoshop, Soporte técnico, Administración, Contabilidad, Diseño gráfico",19,1.7,Junior,Otro,777,Medio tiempo
"Terapia Física, Carpintería, Servicio al cliente, JavaScript, Contabilidad",3,3.3,Junior,Otro,778,Tiempo completo
"Instalaciones eléctricas, Carpintería, JavaScript",9,2.1,Medio,Otro,779,Medio tiempo
"Electricidad, Contabilidad, Carpintería",16,2.0,Medio,Otro,780,Medio tiempo
"Servicio al cliente, Administración, Contabilidad",5,1.9,Senior,Otro,781,Medio tiempo
"Mecánica automotriz, Atención al cliente, Diseño gráfico, Servicio al cliente",13,1.6,Senior,Otro,782,Tiempo completo
"Electricidad, JavaScript, Inglés avanzado",10,4.5,Senior,Otro,783,Tiempo completo
"Atención al cliente, Tramitología, Contabilidad",16,3.9,Junior,Ingeniero,784,Tiempo completo
"Programación en Java, Electricidad, Photoshop",16,3.2,Senior,Otro,785,Tiempo completo
"Atención al cliente, Administración, Redacción, Soporte técnico",19,2.3,Junior,Otro,786,Medio tiempo
"Photoshop, Mecánica automotriz, Redacción, CSS",13,4.6,Medio,Otro,787,Medio tiempo
"Terapia Física, Mecánica automotriz, Inglés avanzado",11,2.0,Medio,Otro,788,Medio tiempo
"CSS, Instalaciones eléctricas, Atención al cliente, HTML, Carpintería",8,4.5,Junior,Otro,789,Tiempo completo
"Illustrator, Diseño gráfico, Soporte técnico, Tramitología, Mecánica automotriz",12,1.9,Junior,Otro,790,Medio tiempo
"Contabilidad, Marketing digital, Photoshop, Carpintería, HTML",4,4.5,Medio,Otro,791,Tiempo completo
"Atención al cliente, JavaScript, Inglés avanzado",19,3.4,Medio,Otro,792,Medio tiempo
"Illustrator, JavaScript, Soporte técnico, Servicio al cliente, Ventas",4,1.7,Senior,Otro,793,Tiempo completo
"JavaScript, Programación en Java, Illustrator",4,4.3,Senior,Otro,794,Tiempo completo
"SEO, Soporte técnico, Diseño gráfico",10,3.2,Medio,Otro,795,Tiempo completo
"Ciencia de datos, Carpintería, Diseño UX/UI",13,3.3,Medio,Otro,796,Medio tiempo
"JavaScript, Carpintería, Python, Redacción",7,1.9,Senior,Otro,797,Medio tiempo
"Illustrator, Redacción, Python",20,2.2,Senior,Otro,798,Tiempo completo
"CSS, Ventas, Terapia Física, Redacción",7,1.7,Junior,Otro,799,Medio tiempo
"Marketing digital, Redacción, Diseño gráfico, Ciencia de datos, Atención al cliente",20,2.3,Senior,Otro,800,Medio tiempo
"Contabilidad, Ciencia de datos, Diseño gráfico, Soporte técnico, Marketing digital",10,3.6,Medio,Otro,801,Medio tiempo
"Diseño UX/UI, Marketing digital, Ciencia de datos, Contabilidad, Python",10,2.6,Medio,Otro,802,Medio tiempo
"Tramitología, Soporte técnico, Python",12,2.7,Medio,Otro,803,Medio tiempo
"Traducción, Contabilidad, Redacción",10,1.8,Senior,Otro,804,Tiempo completo
"Carpintería, Redacción, Servicio al cliente, Programación en Java, Python",16,1.2,Senior,Otro,805,Tiempo completo
"Soporte técnico, SEO, Servicio al cliente, Carpintería, Instalaciones eléctricas",17,1.9,Medio,Otro,806,Tiempo completo
"Tramitología, Programación en Java, Traducción",16,4.1,Junior,Otro,807,Medio tiempo
"Illustrator, Diseño UX/UI, Tramitología, Programación en Java, HTML",17,3.8,Medio,Otro,808,Medio tiempo
"Redacción, Soporte técnico, Diseño UX/UI",17,3.2,Medio,Otro,809,Medio tiempo
"Traducción, Carpintería, HTML",7,5.0,Medio,Ingeniero,810,Medio tiempo
"SEO, Administración, Ventas, Mecánica automotriz",18,2.6,Junior,Otro,811,Tiempo completo
"JavaScript, Inglés avanzado, Carpintería, Programación en Java",18,3.7,Junior,Otro,812,Medio tiempo
"Tramitología, Redacción, CSS, Contabilidad",20,3.5,Senior,Otro,813,Medio tiempo
"Diseño gráfico, Photoshop, Inglés avanzado, Python, HTML",12,2.9,Junior,Otro,814,Tiempo completo
"Marketing digital, CSS, Ventas, Diseño UX/UI",14,2.4,Senior,Otro,815,Tiempo completo
"Instalaciones eléctricas, Atención al cliente, Photoshop, Diseño UX/UI, Carpintería",13,5.0,Junior,Otro,816,Medio tiempo
"Ciencia de datos, Instalaciones eléctricas, Contabilidad",5,1.8,Junior,Licenciado,817,Tiempo completo
"Administración, Marketing digital, Tramitología",18,3.6,Senior,Otro,818,Medio tiempo
"Administración, SEO, Ventas",12,4.5,Junior,Otro,819,Medio tiempo
"SEO, Carpintería, Terapia Física, JavaScript, Instalaciones eléctricas",12,1.2,Medio,Otro,820,Tiempo completo
"Traducción, Redacción, Photoshop, Illustrator, Programación en Java",6,2.1,Senior,Otro,821,Medio tiempo
"Python, JavaScript, Soporte técnico",3,3.1,Junior,Otro,822,Tiempo completo
"Traducción, Ventas, Ciencia de datos, Programación en Java, Soporte técnico",15,2.0,Junior,Otro,823,Medio tiempo
"Illustrator, Photoshop, SEO, Traducción, Ciencia de datos",11,2.9,Senior,Licenciado,824,Tiempo completo
"Instalaciones eléctricas, Redacción, Ventas",5,1.5,Medio,Otro,825,Tiempo completo
"Ciencia de datos, HTML, Instalaciones eléctricas",5,4.9,Senior,Otro,826,Tiempo completo
"Carpintería, Soporte técnico, HTML, Ciencia de datos",2,2.9,Senior,Ingeniero,827,Tiempo completo
"CSS, Carpintería, HTML, Soporte técnico",11,2.9,Senior,Otro,828,Tiempo completo
"Electricidad, Diseño UX/UI, Diseño gráfico, Ciencia de datos",12,1.6,Junior,Otro,829,Medio tiempo
"HTML, Photoshop, Instalaciones eléctricas, Inglés avanzado",7,4.0,Junior,Otro,830,Medio tiempo
"Mecánica automotriz, Terapia Física, HTML, Soporte técnico",16,1.1,Senior,Otro,831,Tiempo completo
"Contabilidad, Electricidad, Ventas, Carpintería",15,3.0,Junior,Otro,832,Tiempo completo
"Traducción, Ventas, Marketing digital, Contabilidad",4,3.5,Junior,Ingeniero,833,Medio tiempo
"Marketing digital, Tramitología, HTML, Servicio al cliente",6,4.4,Junior,Otro,834,Medio tiempo
"Ventas, SEO, Mecánica automotriz, CSS, Atención al cliente",8,3.7,Senior,Otro,835,Tiempo completo
"Terapia Física, Photoshop, Tramitología, Atención al cliente, HTML",8,2.7,Junior,Otro,836,Tiempo completo
"Marketing digital, CSS, Tramitología, JavaScript",11,4.5,Medio,Otro,837,Medio tiempo
"HTML, Tramitología, Diseño gráfico",9,3.5,Senior,Otro,838,Tiempo completo
"Ciencia de datos, Contabilidad, Atención al cliente",10,3.7,Senior,Otro,839,Tiempo completo
"Servicio al cliente, Mecánica automotriz, Electricidad, Marketing digital",15,4.8,Senior,Otro,840,Medio tiempo
"Soporte técnico, Mecánica automotriz, JavaScript",10,1.7,Senior,Otro,841,Medio tiempo
"Carpintería, Programación en Java, Marketing digital, Photoshop, Traducción",3,1.2,Junior,Otro,842,Medio tiempo
"Servicio al cliente, JavaScript, Contabilidad, Instalaciones eléctricas",1,3.9,Junior,Otro,843,Medio tiempo
"Administración, Photoshop, Servicio al cliente, Python",6,4.0,Senior,Otro,844,Medio tiempo
"Diseño UX/UI, JavaScript, Python, Redacción, Photoshop",2,2.5,Junior,Otro,845,Tiempo completo
"Programación en Java, Contabilidad, Electricidad",11,2.0,Junior,Otro,846,Medio tiempo
"Traducción, Terapia Física, HTML, Electricidad, Contabilidad",19,2.7,Senior,Otro,847,Medio tiempo
"Ciencia de datos, Redacción, Terapia Física, Photoshop",7,1.2,Senior,Otro,848,Tiempo completo
"HTML, Diseño UX/UI, Marketing digital, Illustrator, Photoshop",9,5.0,Junior,Otro,849,Tiempo completo
"Terapia Física, Electricidad, Inglés avanzado",15,3.0,Senior,Otro,850,Tiempo completo
"Contabilidad, Servicio al cliente, Administración, Atención al cliente, Traducción",10,4.7,Junior,Otro,851,Tiempo completo
"Tramitología, Ventas, Mecánica automotriz, SEO",15,4.1,Senior,Otro,852,Medio tiempo
"Diseño gráfico, Electricidad, Instalaciones eléctricas",15,1.3,Medio,Otro,853,Medio tiempo
"Electricidad, Carpintería, SEO, Traducción",1,3.0,Senior,Licenciado,854,Medio tiempo
"Electricidad, Traducción, Servicio al cliente",18,1.1,Medio,Otro,855,Tiempo completo
"Instalaciones eléctricas, Carpintería, SEO, Tramitología, CSS",5,2.7,Junior,Otro,856,Tiempo completo
"JavaScript, Servicio al cliente, Administración, CSS, Programación en Java",15,1.2,Medio,Otro,857,Medio tiempo
"Python, CSS, Illustrator",2,1.3,Medio,Otro,858,Tiempo completo
"Terapia Física, Ciencia de datos, Illustrator",1,3.8,Medio,Otro,859,Tiempo completo
"Terapia Física, HTML, Illustrator",18,1.8,Senior,Otro,860,Tiempo completo
"Diseño UX/UI, Photoshop, Carpintería, Mecánica automotriz, Diseño gráfico",2,4.7,Medio,Otro,861,Tiempo completo
"Marketing digital, Electricidad, Ventas, Atención al cliente",12,1.2,Junior,Otro,862,Medio tiempo
"Marketing digital, Tramitología, Programación en Java, HTML, Mecánica automotriz",15,3.8,Senior,Otro,863,Medio tiempo
"Redacción, Instalaciones eléctricas, Administración, Carpintería",15,2.9,Medio,Otro,864,Tiempo completo
"Photoshop, Inglés avanzado, Administración",16,4.6,Senior,Otro,865,Medio tiempo
"Illustrator, Marketing digital, Electricidad",4,3.7,Senior,Otro,866,Medio tiempo
"Diseño UX/UI, Traducción, Terapia Física, Photoshop",20,4.0,Medio,Ingeniero,867,Medio tiempo
"Electricidad, Contabilidad, Programación en Java",13,3.6,Senior,Otro,868,Medio tiempo
"Traducción, Ventas, Soporte técnico, Python, Marketing digital",14,4.8,Medio,Otro,869,Medio tiempo
"Diseño UX/UI, Ciencia de datos, Administración, Electricidad",17,2.9,Medio,Otro,870,Medio tiempo
"CSS, Carpintería, Atención al cliente, Instalaciones eléctricas",5,3.9,Senior,Otro,871,Tiempo completo
"HTML, Terapia Física, Programación en Java",1,3.0,Junior,Otro,872,Medio tiempo
"JavaScript, Atención al cliente, Illustrator, Mecánica automotriz, Instalaciones eléctricas",19,2.8,Senior,Otro,873,Tiempo completo
"Ventas, Marketing digital, Administración",1,4.1,Junior,Otro,874,Tiempo completo
"Photoshop, Python, Terapia Física",16,3.7,Senior,Otro,875,Medio tiempo
"Ciencia de datos, SEO, Contabilidad, Ventas",9,1.8,Medio,Otro,876,Medio tiempo
"Servicio al cliente, Python, Mecánica automotriz, JavaScript, Inglés avanzado",2,3.2,Senior,Otro,877,Medio tiempo
"Redacción, Ciencia de datos, SEO",17,3.1,Medio,Licenciado,878,Medio tiempo
"Redacción, Soporte técnico, Mecánica automotriz",6,1.4,Senior,Otro,879,Tiempo completo
"Inglés avanzado, Terapia Física, Traducción, Photoshop, Redacción",7,2.5,Medio,Otro,880,Medio tiempo
"Atención al cliente, Tramitología, Soporte técnico, Diseño gráfico",16,3.4,Junior,Otro,881,Medio tiempo
"Tramitología, Programación en Java, Inglés avanzado",1,1.8,Junior,Otro,882,Tiempo completo
"Instalaciones eléctricas, Diseño UX/UI, Administración, Ciencia de datos, Soporte técnico",5,3.5,Senior,Licenciado,883,Tiempo completo
"SEO, JavaScript, Contabilidad",18,1.4,Senior,Otro,884,Tiempo completo
"Administración, Illustrator, SEO",3,1.8,Senior,Otro,885,Tiempo completo
"SEO, Tramitología, Programación en Java, Inglés avanzado",2,2.4,Medio,Otro,886,Tiempo completo
"Redacción, Servicio al cliente, Inglés avanzado, Instalaciones eléctricas, Diseño gráfico",7,4.7,Senior,Otro,887,Tiempo completo
"Ventas, Diseño gráfico, Contabilidad, Marketing digital, Diseño UX/UI",1,3.9,Medio,Ingeniero,888,Medio tiempo
"Administración, Photoshop, Programación en Java, Traducción",3,1.1,Senior,Otro,889,Tiempo completo
"Instalaciones eléctricas, Electricidad, Ventas, Ciencia de datos",14,2.5,Medio,Otro,890,Medio tiempo
"Servicio al cliente, Python, JavaScript, Programación en Java, Illustrator",12,3.2,Medio,Otro,891,Medio tiempo
"Carpintería, Inglés avanzado, Illustrator, Marketing digital",13,4.7,Senior,Otro,892,Medio tiempo
"Traducción, HTML, Python",11,2.3,Medio,Otro,893,Tiempo completo
"Illustrator, Diseño gráfico, Inglés avanzado, Redacción",9,2.4,Medio,Ingeniero,894,Tiempo completo
"Soporte técnico, Mecánica automotriz, Diseño gráfico",4,4.6,Junior,Otro,895,Medio tiempo
"Programación en Java, JavaScript, Terapia Física, Servicio al cliente, HTML",2,1.9,Medio,Otro,896,Medio tiempo
"Servicio al cliente, Administración, Electricidad, Ventas",12,4.3,Junior,Otro,897,Medio tiempo
"SEO, Programación en Java, Mecánica automotriz, JavaScript, Inglés avanzado",9,3.0,Medio,Otro,898,Tiempo completo
"Administración, Ciencia de datos, Ventas, Electricidad",20,2.7,Medio,Otro,899,Medio tiempo
"Redacción, Tramitología, Administración, Carpintería, Photoshop",19,2.8,Senior,Otro,900,Tiempo completo
"Mecánica automotriz, Atención al cliente, Illustrator",6,2.5,Senior,Ingeniero,901,Tiempo completo
"Carpintería, Ventas, CSS, Servicio al cliente",11,4.7,Junior,Otro,902,Tiempo completo
"Redacción, Diseño UX/UI, Python, Atención al cliente",17,3.9,Junior,Otro,903,Tiempo completo
"Marketing digital, Atención al cliente, Ventas",20,3.2,Junior,Otro,904,Tiempo completo
"Atención al cliente, Ventas, Contabilidad, Carpintería",9,3.2,Senior,Otro,905,Tiempo completo
"HTML, Carpintería, Electricidad, Programación en Java, Terapia Física",16,2.8,Senior,Otro,906,Tiempo completo
"Ventas, Atención al cliente, Terapia Física",2,3.7,Junior,Otro,907,Medio tiempo
"Ciencia de datos, Administración, Photoshop, Diseño gráfico",9,1.0,Junior,Otro,908,Medio tiempo
"Photoshop, CSS, Programación en Java, Soporte técnico",19,4.0,Junior,Otro,909,Tiempo completo
"Programación en Java, CSS, Tramitología",4,2.4,Junior,Otro,910,Medio tiempo
"Contabilidad, Traducción, Programación en Java, Servicio al cliente, Mecánica automotriz",18,2.2,Medio,Otro,911,Tiempo completo
"Programación en Java, Inglés avanzado, Tramitología",12,2.4,Medio,Otro,912,Tiempo completo
"Illustrator, Diseño gráfico, Photoshop, Ciencia de datos, Soporte técnico",13,2.8,Junior,Otro,913,Tiempo completo
"Tramitología, Programación en Java, Redacción",11,4.1,Senior,Otro,914,Tiempo completo
"Diseño gráfico, Traducción, Contabilidad, Administración, Ventas",14,1.1,Junior,Otro,915,Tiempo completo
"Python, Mecánica automotriz, Terapia Física",11,2.2,Senior,Otro,916,Medio tiempo
"Servicio al cliente, Diseño gráfico, Terapia Física, Instalaciones eléctricas",6,3.9,Medio,Otro,917,Medio tiempo
"JavaScript, Atención al cliente, SEO, Traducción, Servicio al cliente",17,2.6,Senior,Otro,918,Tiempo completo
"Servicio al cliente, SEO, Administración, Ciencia de datos",10,2.0,Junior,Otro,919,Tiempo completo
"CSS, Marketing digital, Servicio al cliente, Ciencia de datos, HTML",3,1.0,Medio,Otro,920,Tiempo completo
"Ciencia de datos, Servicio al cliente, Atención al cliente, Programación en Java",1,1.9,Junior,Otro,921,Medio tiempo
"Redacción, Programación en Java, Soporte técnico",11,1.4,Junior,Ingeniero,922,Tiempo completo
"Programación en Java, SEO, Ciencia de datos, Atención al cliente",7,2.5,Senior,Otro,923,Tiempo completo
"Inglés avanzado, Soporte técnico, Terapia Física, Administración",14,1.4,Junior,Licenciado,924,Tiempo completo
"Illustrator, SEO, Atención al cliente, Inglés avanzado, Instalaciones eléctricas",12,1.1,Senior,Otro,925,Tiempo completo
"Ventas, Ciencia de datos, Soporte técnico",12,3.8,Senior,Otro,926,Tiempo completo
"Ventas, Instalaciones eléctricas, Photoshop, Atención al cliente",20,2.1,Medio,Otro,927,Medio tiempo
"Mecánica automotriz, Photoshop, HTML, Redacción",14,3.0,Junior,Otro,928,Medio tiempo
"Carpintería, CSS, Instalaciones eléctricas, Electricidad, Administración",5,4.4,Junior,Licenciado,929,Tiempo completo
"Programación en Java, Mecánica automotriz, Soporte técnico, Inglés avanzado, Ciencia de datos",11,1.1,Senior,Otro,930,Tiempo completo
"Contabilidad, Ciencia de datos, CSS, HTML",10,4.2,Senior,Otro,931,Tiempo completo
"Carpintería, Ciencia de datos, Servicio al cliente, Terapia Física",13,3.5,Medio,Otro,932,Tiempo completo
"Electricidad, Python, Illustrator, Mecánica automotriz",5,1.2,Medio,Otro,933,Medio tiempo
"Soporte técnico, Tramitología, Photoshop, Electricidad",4,4.3,Junior,Otro,934,Tiempo completo
"Programación en Java, Administración, Python, Carpintería",2,2.2,Junior,Licenciado,935,Tiempo completo
"Python, Photoshop, Instalaciones eléctricas, Carpintería",13,4.1,Junior,Otro,936,Medio tiempo
"Mecánica automotriz, Servicio al cliente, Redacción, Ciencia de datos, Tramitología",6,2.7,Medio,Otro,937,Medio tiempo
"Terapia Física, Programación en Java, Photoshop, CSS",12,2.3,Junior,Otro,938,Medio tiempo
"Diseño gráfico, Atención al cliente, Mecánica automotriz, Python",13,4.8,Senior,Otro,939,Tiempo completo
"Mecánica automotriz, Diseño UX/UI, JavaScript, Atención al cliente",3,3.3,Medio,Otro,940,Medio tiempo
"Atención al cliente, Carpintería, Ventas",11,4.4,Medio,Otro,941,Medio tiempo
"JavaScript, Traducción, Redacción, Electricidad",8,2.9,Senior,Ingeniero,942,Medio tiempo
"Inglés avanzado, Administración, HTML, CSS",6,4.2,Medio,Otro,943,Medio tiempo
"Electricidad, Instalaciones eléctricas, SEO, Diseño UX/UI",17,1.8,Junior,Otro,944,Medio tiempo
"Mecánica automotriz, JavaScript, Ciencia de datos",15,4.3,Senior,Otro,945,Tiempo completo
"Illustrator, Electricidad, Diseño gráfico",3,4.9,Junior,Otro,946,Tiempo completo
